ENTREZID,SYMBOL,GENETITLE,CHR_Mapping,BP_Mapping
101928626,LOC101928626,uncharacterized LOC101928626,1,628194
79854,LINC00115,long intergenic non-protein coding RNA 115,1,826864
643837,LINC01128,long intergenic non-protein coding RNA 1128,1,840912
100130417,LOC100130417,uncharacterized LOC100130417,1,918255
148398,SAMD11,sterile alpha motif domain containing 11,1,935161
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,1,951751
339451,KLHL17,kelch like family member 17,1,963153
84069,PLEKHN1,pleckstrin homology domain containing N1,1,970800
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",1,978658
57801,HES4,hes family bHLH transcription factor 4,1,999567
9636,ISG15,ISG15 ubiquitin-like modifier,1,1014003
375790,AGRN,agrin,1,1038121
54991,C1orf159,chromosome 1 open reading frame 159,1,1099087
254099,LINC01342,long intergenic non-protein coding RNA 1342,1,1140535
254173,TTLL10,tubulin tyrosine ligase like 10,1,1184349
8784,TNFRSF18,TNF receptor superfamily member 18,1,1205108
7293,TNFRSF4,TNF receptor superfamily member 4,1,1212747
51150,SDF4,stromal cell derived factor 4,1,1224487
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",1,1233644
388581,FAM132A,family with sequence similarity 132 member A,1,1244584
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,1,1263883
6339,SCNN1D,sodium channel epithelial 1 delta subunit,1,1286232
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1,1300136
126789,PUSL1,pseudouridylate synthase-like 1,1,1310145
54973,CPSF3L,cleavage and polyadenylation specific factor 3-like,1,1318136
80772,CPTP,ceramide-1-phosphate transfer protein,1,1326829
1855,DVL1,dishevelled segment polarity protein 1,1,1342195
54587,MXRA8,matrix remodeling associated 8,1,1356676
54998,AURKAIP1,aurora kinase A interacting protein 1,1,1374501
81669,CCNL2,cyclin L2,1,1394168
148413,LOC148413,uncharacterized LOC148413,1,1400788
55052,MRPL20,mitochondrial ribosomal protein L20,1,1404607
441869,ANKRD65,ankyrin repeat domain 65,1,1419932
102724312,LOC102724312,uncharacterized LOC102724312,1,1432365
64856,VWA1,von Willebrand factor A domain containing 1,1,1439202
219293,ATAD3C,"ATPase family, AAA domain containing 3C",1,1459923
83858,ATAD3B,"ATPase family, AAA domain containing 3B",1,1485569
55210,ATAD3A,"ATPase family, AAA domain containing 3A",1,1523511
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",1,1558277
643988,FNDC10,fibronectin type III domain containing 10,1,1599052
142678,MIB2,mindbomb E3 ubiquitin protein ligase 2,1,1623125
728661,SLC35E2B,solute carrier family 35 member E2B,1,1677141
65220,NADK,NAD kinase,1,1762620
2782,GNB1,G protein subunit beta 1,1,1838201
163688,CALML6,calmodulin like 6,1,1916060
339456,TMEM52,transmembrane protein 52,1,1918445
85452,CFAP74,cilia and flagella associated protein 74,1,1962894
2563,GABRD,gamma-aminobutyric acid type A receptor delta subunit,1,2025041
5590,PRKCZ,protein kinase C zeta,1,2130549
199990,FAAP20,Fanconi anemia core complex associated protein 20,1,2194469
6497,SKI,SKI proto-oncogene,1,2269454
79906,MORN1,MORN repeat containing 1,1,2371089
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,1,2398610
5192,PEX10,peroxisomal biogenesis factor 10,1,2408686
9651,PLCH2,phospholipase C eta 2,1,2488708
55229,PANK4,pantothenate kinase 4,1,2517579
388585,HES5,hes family bHLH transcription factor 5,1,2529495
115110,LOC115110,uncharacterized LOC115110,1,2553465
8764,TNFRSF14,TNF receptor superfamily member 14,1,2560993
100996583,LOC100996583,uncharacterized LOC100996583,1,2575534
127281,FAM213B,family with sequence similarity 213 member B,1,2589037
79258,MMEL1,membrane metalloendopeptidase like 1,1,2611842
140625,ACTRT2,actin related protein T2,1,3022192
440556,LINC00982,long intergenic non-protein coding RNA 982,1,3064784
63976,PRDM16,PR/SET domain 16,1,3253899
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,1,3467848
1953,MEGF6,multiple EGF like domains 6,1,3549718
127262,TPRG1L,tumor protein p63 regulated 1 like,1,3627561
49856,WRAP73,"WD repeat containing, antisense to TP73",1,3640437
7161,TP73,tumor protein p73,1,3708314
57212,TP73-AS1,TP73 antisense RNA 1,1,3741528
148870,CCDC27,coiled-coil domain containing 27,1,3762023
388588,SMIM1,small integral membrane protein 1 (Vel blood group),1,3774378
57470,LRRC47,leucine rich repeat containing 47,1,3788362
9731,CEP104,centrosomal protein 104,1,3834657
1677,DFFB,DNA fragmentation factor subunit beta,1,3871348
339448,C1orf174,chromosome 1 open reading frame 174,1,3894713
100133612,LINC01134,long intergenic non-protein coding RNA 1134,1,3907925
728716,LINC01346,long intergenic non-protein coding RNA 1346,1,3946597
284661,LOC284661,uncharacterized LOC284661,1,4418367
55966,AJAP1,adherens junctions associated protein 1,1,4717918
261734,NPHP4,nephrocystin 4,1,5927640
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,1,6065059
26038,CHD5,chromodomain helicase DNA binding protein 5,1,6140960
6146,RPL22,ribosomal protein L22,1,6192319
388591,RNF207,ring finger protein 207,1,6213714
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,1,6228588
148645,LINC00337,long intergenic non-protein coding RNA 337,1,6237841
387509,GPR153,G protein-coupled receptor 153,1,6254160
11332,ACOT7,acyl-CoA thioesterase 7,1,6319540
54626,HES2,hes family bHLH transcription factor 2,1,6417576
83715,ESPN,espin,1,6442866
8718,TNFRSF25,TNF receptor superfamily member 25,1,6464413
57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,1,6480475
79707,NOL9,nucleolar protein 9,1,6537972
80835,TAS1R1,taste 1 receptor member 1,1,6567517
3104,ZBTB48,zinc finger and BTB domain containing 48,1,6584635
9903,KLHL21,kelch like family member 21,1,6596811
148479,PHF13,PHD finger protein 13,1,6618864
90326,THAP3,THAP domain containing 3,1,6629652
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,1,6668037
23261,CAMTA1,calmodulin binding transcription activator 1,1,6980987
9341,VAMP3,vesicle associated membrane protein 3,1,7776350
8863,PER3,period circadian clock 3,1,7814804
10911,UTS2,urotensin 2,1,7850439
3604,TNFRSF9,TNF receptor superfamily member 9,1,7929518
11315,PARK7,Parkinsonism associated deglycase,1,7973468
54206,ERRFI1,ERBB receptor feedback inhibitor 1,1,8019026
50651,SLC45A1,solute carrier family 45 member 1,1,8331126
473,RERE,arginine-glutamic acid dipeptide repeats,1,8486533
2023,ENO1,enolase 1,1,8868167
100505975,ENO1-AS1,ENO1 antisense RNA 1,1,8879359
765,CA6,carbonic anhydrase 6,1,8960300
6518,SLC2A5,solute carrier family 2 member 5,1,9054523
80045,GPR157,G protein-coupled receptor 157,1,9116793
407040,MIR34A,microRNA 34a,1,9151722
9563,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,1,9254329
80176,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,1,9331206
100506022,LOC100506022,uncharacterized LOC100506022,1,9427025
84275,SLC25A33,solute carrier family 25 member 33,1,9561121
199953,TMEM201,transmembrane protein 201,1,9599396
